x y t case x_pre y_pre x_cor y_cor
3177.94 1126.86 38.358 4 3177 1126 3177 1126
3177.94 1126.86 38.4887 4 3177 1126 3177 1126
3177.94 1126.86 38.6114 4 3177 1126 3177 1126
3177.94 1126.86 38.7346 4 3177 1126 3177 1126
3177.94 1126.86 38.8576 4 3177 1126 3177 1126
3177.94 1126.86 38.9809 4 3177 1126 3177 1126
3177.94 1126.86 39.1064 4 3177 1126 3177 1126
3177.94 1126.86 39.2323 4 3177 1126 3177 1126
3177.94 1126.86 39.3587 4 3177 1126 3177 1126
3177.94 1126.86 40.0061 4 3177 1126 3177 1126
3177.94 1126.86 40.1307 4 3177 1126 3177 1126
3177.94 1126.86 40.2497 4 3177 1126 3177 1126
3177.94 1126.86 40.3697 4 3177 1126 3177 1126
3177.94 1126.86 40.4926 4 3177 1126 3177 1126
3177.94 1126.86 40.6207 4 3177 1126 3177 1126
3177.94 1126.86 40.7434 4 3177 1126 3177 1126
3177.94 1126.86 40.8696 4 3177 1126 3177 1126
3177.94 1126.86 40.9935 4 3177 1126 3177 1126
3177.94 1126.86 41.1177 4 3177 1126 3177 1126
3177.94 1126.86 41.2434 4 3177 1126 3177 1126
3177.94 1126.86 41.3663 4 3177 1126 3177 1126
3177.94 1126.86 41.4981 4 3177 1126 3177 1126
3177.94 1126.86 41.6167 4 3177 1126 3177 1126
3177.94 1126.86 41.7402 4 3177 1126 3177 1126
3177.94 1126.86 41.865 4 3177 1126 3177 1126
3177.94 1126.86 41.9919 4 3177 1126 3177 1126
3177.94 1126.86 42.1171 4 3177 1126 3177 1126
3177.94 1126.86 42.2399 4 3177 1126 3177 1126
3177.94 1126.86 42.3669 4 3177 1126 3177 1126
3177.94 1126.86 42.4911 4 3177 1126 3177 1126
3177.94 1126.86 42.6177 4 3177 1126 3177 1126
3177.94 1126.86 42.742 4 3177 1126 3177 1126
3177.94 1126.86 42.8643 4 3177 1126 3177 1126
3177.94 1126.86 42.9923 4 3177 1126 3177 1126
3177.94 1126.86 43.1134 4 3177 1126 3177 1126
3177.94 1126.86 43.2429 4 3177 1126 3177 1126
3177.94 1126.86 43.3634 4 3177 1126 3177 1126
3177.94 1126.86 43.4882 4 3177 1126 3177 1126
3177.94 1126.86 43.6137 4 3177 1126 3177 1126
